iter	Logloss
0	0.688981333
1	0.6847117001
2	0.6806850578
3	0.6768778635
4	0.6732120858
5	0.669651328
6	0.6659828721
7	0.6627263594
8	0.659630815
9	0.6566047942
10	0.6535853372
11	0.6505384718
12	0.6479915829
13	0.645364896
14	0.6429655739
15	0.6405046962
16	0.6381247789
17	0.6360670016
18	0.6340297077
19	0.631999593
20	0.6301130314
21	0.6280639334
22	0.6263432613
23	0.6246186756
24	0.6227940237
25	0.6209772389
26	0.6194004523
27	0.617639445
28	0.6160520464
29	0.6144384866
30	0.6129256673
31	0.611418924
32	0.6099673396
33	0.6084231235
34	0.6071677674
35	0.6057029854
36	0.6044511798
37	0.6032543608
38	0.6020222032
39	0.6007301252
40	0.5995178902
41	0.5983311063
42	0.5972160057
43	0.5959320811
44	0.5946271016
45	0.5935769022
46	0.5925145572
47	0.5913254974
48	0.5902660884
49	0.5894431281
50	0.5884169591
51	0.5875349104
52	0.5864974103
53	0.5854713945
54	0.5845280659
55	0.5832832437
56	0.5824067747
57	0.5813912363
58	0.5805599221
59	0.5796816745
60	0.5787280329
61	0.5777830143
62	0.5769248718
63	0.5761715773
64	0.575287184
65	0.5745910377
66	0.5738020468
67	0.5730582754
68	0.5722423692
69	0.5713903608
70	0.5707626928
71	0.5699487732
72	0.5693107224
73	0.5684679213
74	0.567637537
75	0.5668318909
76	0.5661046008
77	0.5654347283
78	0.5648045832
79	0.5639880776
80	0.5633174625
81	0.5624905327
82	0.5617201415
83	0.5611144604
84	0.5604719596
85	0.5596937351
86	0.5589841511
87	0.5583384196
88	0.5576607094
89	0.5569832472
90	0.5563082306
91	0.5557453088
92	0.5552255397
93	0.554575531
94	0.5540323524
95	0.5533752268
96	0.5528163777
97	0.5523413512
98	0.5516078739
99	0.5510463683
100	0.5504401421
101	0.5497679273
102	0.5492152089
103	0.5487282881
104	0.5481681358
105	0.5476689286
106	0.5470338921
107	0.5465364326
108	0.5458567335
109	0.545303722
110	0.5446751238
111	0.5441455114
112	0.5436963994
113	0.5431390111
114	0.5425953028
115	0.5419981205
116	0.5415082986
117	0.5410152132
118	0.5405272891
119	0.5400567213
120	0.5395846122
121	0.539208113
122	0.538717981
123	0.5382294717
124	0.5377727961
125	0.5373432299
126	0.5368518843
127	0.5363745767
128	0.5358383599
129	0.5353823769
130	0.5349395226
131	0.5344733188
132	0.5339818183
133	0.5335124428
134	0.5330518948
135	0.5326188574
136	0.5321580274
137	0.531709607
138	0.53122749
139	0.5307585445
140	0.5302746631
141	0.5298801726
142	0.5293443246
143	0.5290436401
144	0.5285845743
145	0.5281490739
146	0.5277940631
147	0.5273697669
148	0.5270213386
149	0.52663666
150	0.5263161002
151	0.5259762949
152	0.5255783317
153	0.5251920472
154	0.524805265
155	0.5244441275
156	0.5239798062
157	0.5235406209
158	0.5231114994
159	0.5226348254
160	0.5222667109
161	0.5218994835
162	0.5215308888
163	0.5211508585
164	0.5207758018
165	0.5204826252
166	0.5201053601
167	0.5196917106
168	0.5193664087
169	0.5190234438
170	0.518647981
171	0.5182661627
172	0.5178493088
173	0.5175651671
174	0.5172695142
175	0.5169509582
176	0.516632984
177	0.5162466568
178	0.5159021494
179	0.5156284844
180	0.5152357642
181	0.514960951
182	0.514630017
183	0.5143356808
184	0.513989097
185	0.5136164768
186	0.5132961288
187	0.5129845076
188	0.5126829056
189	0.5123939859
190	0.5120400726
191	0.511810956
192	0.5115388308
193	0.5112591734
194	0.5109568749
195	0.5106777218
196	0.5103813593
197	0.5100881914
198	0.5096913373
199	0.5094697769
200	0.5091415954
201	0.508891635
202	0.508573185
203	0.5082369931
204	0.5078816311
205	0.5075649889
206	0.5072839225
207	0.50697765
208	0.5066728319
209	0.5064017635
210	0.506076494
211	0.5057922299
212	0.5055111783
213	0.5052006585
214	0.5049122736
215	0.5045597903
216	0.5043095946
217	0.5040516228
218	0.5037576429
219	0.5034608304
220	0.5032079793
221	0.5028995072
222	0.5026175628
223	0.5023172851
224	0.5020372901
225	0.5017201179
226	0.5014435139
227	0.5011952007
228	0.5009049074
229	0.5006870541
230	0.5004795814
231	0.500166908
232	0.4999100049
233	0.4996668768
234	0.4994348054
235	0.4991681719
236	0.4989022217
237	0.4986136604
238	0.4984260075
239	0.4981374706
240	0.4978274335
241	0.4975964758
242	0.4973393081
243	0.497116154
